Key_Id,Year,Match_Id,Match_Name,Team1,Team2,Result,Home_Team_Name,Away_Team_Name,Winner,Stage_Name,Group_Name,Group_Stage,Knockout_Stage,Replayed,Replay,Match_Date,Stadium_Id,Stadium_Name,City_Name,Country_Name,Home_Team_Id,Home_Team_Code,Away_Team_Id,Away_Team_Code,Score,Home_Team_Score,Away_Team_Score,Home_Team_Score_Margin,Away_Team_Score_Margin,Extra_Time,Penalty_Shootout,Score_Penalties,Home_Team_Score_Penalties,Away_Team_Score_Penalties,Home_Team_Win,Away_Team_Win,Draw,Unique_Teams
125,1958,M-1958-24,England v Austria,England,Austria,draw,England,Austria,Draw,group stage,Group 4,1,0,0,0,6/15/1958,S-164,Ryavallen,Borås,Sweden,T-27,ENG,T-05,AUT,2–2,2,2,0,0,0,0,0-0,0,0,0,0,1,NULL
126,1958,M-1958-25,Northern Ireland v Czechoslovakia,Northern Ireland,Czechoslovakia,home team win,Northern Ireland,Czechoslovakia,Northern Ireland,group stage,Group 1,1,0,0,0,6/17/1958,S-169,Malmö Stadion,Malmö,Sweden,T-50,NIR,T-20,CSK,2–1,2,1,1,-1,1,0,0-0,0,0,1,0,0,NULL
127,1958,M-1958-26,Wales v Hungary,Wales,Hungary,home team win,Wales,Hungary,Wales,group stage,Group 3,1,0,0,0,6/17/1958,S-173,Råsunda Stadium,Solna,Sweden,T-82,WAL,T-34,HUN,2–1,2,1,1,-1,0,0,0-0,0,0,1,0,0,NULL
128,1958,M-1958-27,Soviet Union v England,Soviet Union,England,home team win,Soviet Union,England,Soviet Union,group stage,Group 4,1,0,0,0,6/17/1958,S-166,Ullevi,Gothenburg,Sweden,T-70,SUN,T-27,ENG,1–0,1,0,1,-1,0,0,0-0,0,0,1,0,0,NULL
129,1958,M-1958-28,Brazil v Wales,Brazil,Wales,home team win,Brazil,Wales,Brazil,quarter-finals,not applicable,0,1,0,0,6/19/1958,S-166,Ullevi,Gothenburg,Sweden,T-09,BRA,T-82,WAL,1–0,1,0,1,-1,0,0,0-0,0,0,1,0,0,NULL
130,1958,M-1958-29,France v Northern Ireland,France,Northern Ireland,home team win,France,Northern Ireland,France,quarter-finals,not applicable,0,1,0,0,6/19/1958,S-170,Idrottsparken,Norrköping,Sweden,T-28,FRA,T-50,NIR,4–0,4,0,4,-4,0,0,0-0,0,0,1,0,0,NULL
131,1958,M-1958-30,Sweden v Soviet Union,Sweden,Soviet Union,home team win,Sweden,Soviet Union,Sweden,quarter-finals,not applicable,0,1,0,0,6/19/1958,S-173,Råsunda Stadium,Solna,Sweden,T-72,SWE,T-70,SUN,2–0,2,0,2,-2,0,0,0-0,0,0,1,0,0,NULL
132,1958,M-1958-31,West Germany v Yugoslavia,West Germany,Yugoslavia,home team win,West Germany,Yugoslavia,West Germany,quarter-finals,not applicable,0,1,0,0,6/19/1958,S-169,Malmö Stadion,Malmö,Sweden,T-83,DEU,T-84,YUG,1–0,1,0,1,-1,0,0,0-0,0,0,1,0,0,NULL
133,1958,M-1958-32,Brazil v France,Brazil,France,home team win,Brazil,France,Brazil,semi-finals,not applicable,0,1,0,0,6/24/1958,S-173,Råsunda Stadium,Solna,Sweden,T-09,BRA,T-28,FRA,5–2,5,2,3,-3,0,0,0-0,0,0,1,0,0,NULL
134,1958,M-1958-33,Sweden v West Germany,Sweden,West Germany,home team win,Sweden,West Germany,Sweden,semi-finals,not applicable,0,1,0,0,6/24/1958,S-166,Ullevi,Gothenburg,Sweden,T-72,SWE,T-83,DEU,3–1,3,1,2,-2,0,0,0-0,0,0,1,0,0,NULL
135,1958,M-1958-34,France v West Germany,France,West Germany,home team win,France,West Germany,France,third-place match,not applicable,0,1,0,0,6/28/1958,S-166,Ullevi,Gothenburg,Sweden,T-28,FRA,T-83,DEU,6–3,6,3,3,-3,0,0,0-0,0,0,1,0,0,NULL
136,1958,M-1958-35,Brazil v Sweden,Brazil,Sweden,home team win,Brazil,Sweden,Brazil,final,not applicable,0,1,0,0,6/29/1958,S-173,Råsunda Stadium,Solna,Sweden,T-09,BRA,T-72,SWE,5–2,5,2,3,-3,0,0,0-0,0,0,1,0,0,NULL
137,1962,M-1962-01,Uruguay v Colombia,Uruguay,Colombia,home team win,Uruguay,Colombia,Uruguay,group stage,Group 1,1,0,0,0,5/30/1962,S-024,Estadio Carlos Dittborn,Arica,Chile,T-81,URY,T-15,COL,2–1,2,1,1,-1,0,0,0-0,0,0,1,0,0,NULL
